Company Name,Average Anual Invoice,Average Anual value,Avg. Days diff,Avg. Item/Invoice,Distinct Item,Distinct Month,Gross Value HC,Inv-Pay gap,No. of Invoice,No. of Order,Pending Amount,Company Type
Company 422,1.333333333,35383.77,63,2,8,4,106151.31,398,4,4,0,Private
Company 423,6,450985.75,15.6,3.666666667,17,9,1352957.25,68.4,18,24,0,Private
Company 424,1,20574.08,1,1,1,1,20574.08,,1,1,6174,Private
Company 425,1,40320,,1,1,1,40320,,1,1,,Private
Company 426,1.75,789189.3,58.6,4.714285714,6,4,3156757.2,193,7,7,0,Private
Company 427,1,462789.3,65.75,3,4,1,925578.6,1083,2,6,0,Private
Company 428,2,88626.6,,1,2,2,88626.6,21,2,3,,Private
Company 429,1.666666667,49484.96333,40.2,2.4,3,3,148454.89,626.5,5,5,0,Private
Company 430,1,103060.8,,2,2,1,103060.8,,1,2,,Private
Company 431,2,48398.37667,,1.333333333,4,4,145195.13,210.2,6,5,,Private
Company 432,3,131988,,1.333333333,3,2,131988,21,3,3,,Private
Company 433,1.25,31093.4,13.5,1.6,7,4,124373.6,259.5,5,11,34918,Private
Company 434,1,8075.55,,2,2,1,8075.55,,1,1,,Private
Company 435,2,18779.95,,3,6,1,18779.95,,2,2,,Private
Company 436,2,9688.875,3.5,1,1,8,38755.5,161.1428571,8,9,0,Private
Company 437,1,26817,,1,1,1,26817,,1,1,,Private
Company 438,1,32078.55,4,4,4,1,32078.55,,1,1,0,Private
Company 439,1.333333333,7163.8,12.66666667,1,2,3,21491.4,403,4,5,0,Private
Company 440,3.5,2590300,44.46666667,1,5,5,5180600,60.33333333,7,12,2400,Private
Company 441,2,28516.985,4.5,1,1,4,57033.97,172.6666667,4,4,0,Private
Company 442,3.333333333,332487.67,44.375,1.8,8,6,997463.01,87.88888889,10,8,0,Private
Company 443,1,44089.5,12,3,3,1,44089.5,,1,1,0,Private
Company 444,2,215250,,1,1,2,215250,30,2,2,,Private
Company 445,6,289421.955,67.25,3.083333333,35,7,578843.91,71.77777778,12,13,0,Private
Company 446,4,184259.93,88.5,1.5,4,1,184259.93,,4,4,184260,Private
Company 447,1,29058.75,,1,1,1,29058.75,,1,1,,Private
Company 448,1,35752.04,2,1,2,2,71504.08,80,2,2,0,Private
Company 449,1.333333333,140650.7933,30,1.75,5,4,421952.38,306.6666667,4,5,47874,Private
Company 450,3,97037.69,17,2.166666667,3,4,194075.38,187.4,6,6,0,Private
Company 451,4,23868,10,1,2,3,23868,42,4,4,0,Private
Company 452,2,96620.7,,1,2,1,96620.7,,2,2,,Private
Company 453,1,7767.375,,1,2,2,15534.75,221,2,2,,Private
Company 454,1,111326.25,,7.5,15,2,222652.5,651,2,1,,Private
Company 455,2,376417.3933,52.88888889,2.333333333,10,3,1129252.18,404.5,6,16,0,Private
Company 456,1,474071.01,99,2,2,1,474071.01,,1,1,0,Private
Company 457,1,44352,35.33333333,1,1,1,44352,,1,2,888,Private
Company 458,1,12362.5,34,1,1,1,12362.5,,1,1,0,Private
Company 459,1,34312.2,,1,1,1,34312.2,,1,1,,Private
Company 460,2.5,3434977.835,76.6,2.2,11,4,6869955.67,81.75,5,5,528568,Private
Company 461,2.5,357985.49,54,1.8,7,4,715970.98,287.75,5,8,653091,Private
Company 462,1,66955.25,11,1,1,1,66955.25,,1,1,3,Private
Company 463,1,9129,,1,2,2,18258,310,2,2,,Private
Company 464,1,28351,,1,1,1,28351,,1,1,,Private
Company 465,2,43434,36.6,1,2,4,86868,136,4,4,0,Private
Company 466,3.2,215968.9,45.90909091,1.4375,20,10,1079844.5,77.13333333,16,18,0,Private
Company 467,3,78693,8.333333333,1.666666667,3,2,78693,17.5,3,3,0,Private
